"A Boukerche, ACMA de Melo, ...",A performance evaluation of a local DNA sequence alignment algorithm on a cluster of workstations,2004
"RN Zucker, JL Baer",A performance study of memory consistency models,1992
"P Pirkelbauer, R Milewicz, JF Gonzalez",A portable lock-free bounded queue,2016
"B Norris, B Demsky",A practical approach for model checking C/C++ 11 code,2016
TL Harris,A pragmatic implementation of non-blocking linked-lists,2001
"DJ Sorin, MD Hill, DA Wood",A primer on memory consistency and cache coherence,2011
"J Kang, CK Hur, O Lahav, V Vafeiadis, ...",A promising semantics for relaxed-memory concurrency,2017
"J Derrick, G Smith, L Groves, B Dongol",A proof method for linearizability on TSO architectures,2017
T Ridge,A rely-guarantee proof system for x86-TSO,2010
"K Svendsen, J Pichon-Pharabod, M Doko, ...",A separation logic for a promising semantics,2018
"J Pichon-Pharabod, K Svendsen, M Doko, O Lahav, ...",A separation logic for a promising semantics,2019
"F Sieczkowski, K Svendsen, L Birkedal, ...",A separation logic for fictional sequential consistency,2015
J Oberhauser,A simpler reduction theorem for x86-TSO,2015
"P Chatterjee, G Gopalakrishnan",A specification and verification framework for developing weak shared memory consistency protocols,2002
"MD Hill, AE Condon, M Plakal, DJ Sorin",A system-level specification framework for I/O architectures,1999
"VA Saraswat, R Jagadeesan, M Michael, ...",A theory of memory models,2007
"G Calin, E Derevenetc, R Majumdar, ...",A theory of partitioned global address spaces,2013
"G Boudol, G Petri",A theory of speculative computation,2010
"J Bhadra, E Trofimova, LJ Giordano, ...",A trace-driven validation methodology for multi-processor SoCs,2006
"L Maranget, S Sarkar, P Sewell",A tutorial introduction to the ARM and POWER relaxed memory models,2012
"L Maranget, S Sarkar, P Sewell",A tutorial introduction to the ARM and POWER relaxed memory models (version 120),2012
"L Maranget, S Sarkar, P Sewell","A tutorial introduction to the ARM and POWER relaxed memory models, 2012",2015
"L Maranget, S Sarkar, P Sewell",A tutorial introduction to the ARM and POWER relaxed memory models. October 2012,
"V Awhad, C Wallace",A unified formal specification and analysis of the new Java memory models,2003
"WC Kwon, LS Pehy",A universal ordered NoC design platform for shared-memory MPSoC,2015
"A Linden, P Wolper",A verification-based approach to memory fence insertion in PSO memory systems,2013
"A Linden, P Wolper",A verification-based approach to memory fence insertion in relaxed memory systems,2011
"B Simner, S Flur, C Pulte, A Armstrong, ...",ARMv8-A system semantics: instruction fetch in relaxed architectures,2020
"B Simner, S Flur, C Pulte, A Armstrong, ...",ARMv8-A system semantics: instruction fetch in relaxed architectures (extended version)⋆,
"K Vora, SC Koduru, R Gupta",ASPIRE: exploiting asynchronous parallelism in iterative algorithms using a relaxed consistency based DSM,2014
"R Bornat, M Dodds",Abducing memory barriers,2012
DR Hower,Acoherent shared memory,2012
"C Lin, V Nagarajan, R Gupta",Address-aware fences,2013
"C Flanagan, SN Freund",Adversarial memory for detecting destructive races,2010
PW O'Hearn,"Algebra, logic, locality, concurrency",2011
"M Zhang, S Biswas, MD Bond",All That Glitters Is Not Gold: Improving Availability and Practicality of Exception-Based Memory Models,2016
B Selfridge,An ACL2 Mechanization of an Axiomatic Framework for Weak Memory,2014
"M Botincan, P Glavan, D Runje",An ASM-based Approach to Modeling Memory Models,
"C Wallace, G Tremblay, JN Amaral",An Abstract State Machine specification and verification of the location consistency memory model and cache protocol,2001
"PA Melliès, L Stefanesco",An Asynchronous soundness theorem for concurrent separation logic,2018
G Cong,An Evaluation of Parallel Algorithms on Current Memory Consistency Models,2006
WY Chen,An Evaluation of the Cost of Sequential Consistency for Titanium,2002
"G Cabon, D Cachera, D Pichardie",An Extended Buffered Memory Model With Full Reorderings,2016
J Prasad,An Immediate Need for A Complete and Precise Memory Model in the wake of Multicore Processing,2012
BA Gandhi,An Implementation of Distributed Shared Memory on Network Of Workstations,1997
P Ou,An Initial Study of Two Approaches to Eliminating Out-of-Thin-Air Results,2018
"Z Hóu, D Sanan, A Tiu, Y Liu, KC Hoa, ...",An Isabelle/HOL Formalisation of the SPARC Instruction Set Architecture and the TSO Memory Model,2020
"S Zhang, M Vijayaraghavan",An Operational Framework for Specifying Memory Models using Instantaneous Instruction Execution,2017
"S Joshi, S Prasad",An Operational Model for Multiprocessors with Caches,2010
"A Linden, P Wolper",An automata-based symbolic approach for verifying programs on relaxed memory models,2010
"W Mansky, D Garbuzov, S Zdancewic",An axiomatic specification for sequential memory models,2015
"AL Cox, S Dwarkadas, P Keleher, ...",An evaluation of software distributed shared memory for next-generation processors and networks,1993
"P Keleher, AL Cox, S Dwarkadas, ...",An evaluation of software-based release consistent protocols,1995
"MD Marino, GL de Campos, LM Sato",An evaluation of the speedup of Nautilus DSM system,1999
"A Shriraman, MF Spear, H Hossain, ...",An integrated hardware-software approach to flexible transactional memory,2007
"J Derrick, G Smith",An observational approach to defining linearizability on weak memory models,2017
"Y Zhang, X Feng",An operational approach to happens-before memory model,2013
"Y Zhang, X Feng",An operational happens-before memory model,2016
"Y Zhang, X Feng",An operational happens-before memory model (extended version),
"K Nienhuis, K Memarian, P Sewell",An operational semantics for C/C++ 11 concurrency,2016
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",An operational semantics of cache coherent multicore architectures,2016
DAW Clarke,Analyses of Java programs over weak memory,2018
"Y Yang, G Gopalakrishnan, ...",Analyzing the CRF Java memory model,2001
"DS Fava, M Steffen, V Stolz",Anything goes unless forbidden,
VY Trifanov,Applying synchronization contracts approach for dynamic detection of data races in industrial applications,2018
"V Vojdani, K Apinis, S Saan",Approaches to Thread-Modular Static Analysis,
"DLCTM Pellauer, M Martonosi",ArMOR: Defending Against Memory Consistency Model Mismatches in Heterogeneous Architectures,
"D Lustig, C Trippel, M Pellauer, ...",ArMOR: defending against memory consistency model mismatches in heterogeneous architectures,2015
"U Ramachandran, G Shah, ...",Architectural mechanisms for explicit communication in shared memory multiprocessors,1995
A Naeem,Architecture Support and Scalability Analysis of Memory Consistency Models in Network-on-Chip based Systems,2013
"K Gharachorloo, M Sharma, S Steely, ...",Architecture and design of AlphaServer GS320,2000
"A Naeem, A Jantsch, Z Lu",Architecture support and comparison of three memory consistency models in NoC based systems,2012
"KV Manjunath, R Govindarajan",Array Bloating: A Novel Method to Reduce False Sharing E ects in DVSMs,
"P Maleehuan, Y Chiba, T Aoki",Assembly program verification for multiprocessors with relaxed memory model using smt solver,2017
"BA Sanders, KH Kim",Assertional reasoning about data races in relaxed memory models,2008
"D Dice, H Huang, M Yang",Asymmetric dekker synchronization,2001
"Y Duan, N Honarmand, J Torrellas",Asymmetric memory fences: Optimizing both performance and implementability,2015
J Thomas,Asynchronous validity resolution in sequentially consistent shared virtual memory,2001
"B Lucia, J Devietti, L Ceze, K Strauss",Atom-Aid: Detecting and surviving atomicity violations,2009
"B Lucia, J Devietti, K Strauss, ...",Atom-aid: Detecting and surviving atomicity violations,2008
"D Gope, MH Lipasti",Atomic SC for simple in-order processors,2014
"S Jagannathan, V Laporte, G Petri, ...",Atomicity refinement for verified compilation,2014
C Leonardsson,"August 2, 2012",2012
A Yushkovskiy,Automated Analysis of Weak Memory Models,2018
"F Cassez, JF Raskin",Automated Technology for Verification and Analysis,
"F Cassez, JF Raskin","Automated Technology for Verification and Analysis: 12th International Symposium, ATVA 2014, Sydney, Australia, November 3-7, 2014, Proceedings",2014
S Burckhardt,Automated Verification of Concurrent Data Types,2006
"B Kasikci, C Zamfir, G Candea",Automated classification of data races under both strong and weak memory models,2015
"C Baumann, AM Dan, Y Meshman, T Hoefler, ...",Automatic Verification of RMA Programs via Abstraction Extrapolation,2018
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...",Automatic fence insertion in integer programs via predicate abstraction,2012
"M Kuperstein, M Vechev, E Yahav",Automatic inference of memory fences,2012
"M Kuperstein, M Vechev, E Yahav",Automatic verification and synthesis for weak memory models,2015
"AJ Summers, P Müller",Automating deductive verification for weak-memory programs (extended version),2020
"P Ou, B Demsky",Automo: Automatic inference of memory order parameters for c/c++ 11,2015
"T Ta, X Zhang, A Gutierrez, ...",Autonomous Data-Race-Free GPU Testing,2019
"M Zhang, S Biswas, MD Bond",Avoiding consistency exceptions under strong memory models,2017
"N Gavrilenko, H Ponce-de-León, F Furbach, ...",BMC for weak memory models: Relation analysis for compact SMT encodings,2019
"H Ponce-de-León, F Furbach, ...",BMC with memory models as modules,2018
"C Wang, Y Lv, P Wu",Bounded TSO-to-SC linearizability is decidable,2016
"S Burckhardt, R Alur, MMK Martin",Bounded model checking of concurrent data types on relaxed memory models: A case study,2006
"S Dolan, KC Sivaramakrishnan, ...",Bounding data races in space and time,2018
"DF Bacon, X Shen",Braids and fibers: Language constructs with architectural support for adaptive responses to memory latencies,2006
M Lesani,Brief announcement: Fence insertion for straight-line programs is in P,2017
"R Jagadeesan, G Petri, J Riely","Brookes is relaxed, almost!",2012
"MM Islam, A Muzahid",Bugaroo: Exposing Memory Model Bugs in Many-Core Systems,2018
W Ahn,BulkCompiler: High-Performance Sequential Consistency through Cooperative Compiler Consistency through Cooperative Compiler and Hardware Support,
"W Ahn, S Qi, M Nicolaides, J Torrellas, JW Lee, ...",BulkCompiler: High-performance sequential consistency through cooperative compiler and hardware support,2009
"ML Goodstein, E Vlachos, S Chen, ...",Butterfly analysis: Adapting dataflow analysis to dynamic parallel monitoring,2010
"H Barendregt, M Gehrke, H Geuvers, G Manzonetto, ...",CALMOC: Categorical and Algebraic Models of Computation,
P Ou,CDSSPEC: Testing Concurrent Data Structures Under the C/C++ 11 Memory Model,2014
"B Norris, B Demsky",CDSchecker: checking concurrent data structures written with C/C++ atomics,2013
"J Huang, C Zhang, J Dolby",CLAP: recording local executions to reproduce concurrency failures,2013
N Dave,CSAIL,2004
"X Shen, LR Arvind",CSAIL,1999
N Dave,CSAIL Massachusetts Institute of Technology,2004
"BP Biswal, A Singh, B Singh",Cache coherency controller verification IP using SystemVerilog Assertions (SVA) and Universal Verification Methodologies (UVM),2017
Y Zhu,"Caches, Transactions and Memories: Models, Coherence and Consistency",2018
"MP Ferguson, D Buettner",Caching Puts and Gets in a PGAS language runtime,2015
"Y Abd Alrahman, M Andric, A Beggiato, ...",Can We Efficiently Check Concurrent Programs Under Relaxed Memory Models in Maude?,2014
"H Maarand, T Uustalu",Certified Foata normalization for generalized traces,2018
"H Maarand, T Uustalu",Certified normalization of generalized traces,2019
"MM Islam, A Muzahid",Characterizing real world bugs causing sequential consistency violations,2013
"S Burckhardt, R Alur, MMK Martin",CheckFence: checking consistency of concurrent data types on relaxed memory models,2007
"A Bouajjani, E Derevenetc, R Meyer",Checking Robustness against TSO,2012
"A Bouajjani, E Derevenetc, R Meyer",Checking and enforcing robustness against TSO,2013
J Dubrovin,Checking bounded reachability in asynchronous systems by symbolic event tracing,2010
"P Ou, B Demsky",Checking concurrent data structures under the C/C++ 11 memory model,2017
"SM Beillahi, A Bouajjani, C Enea",Checking robustness against snapshot isolation,2019
"C Dern, R Simha",Checking transactional memory implementations,2012
"M Batty, K Memarian, S Owens, S Sarkar, ...",Clarifying and compiling C/C++ concurrency: from C++ 11 to POWER,2012
"D Leijen, S Burckhardt, BP Wood, M Fahndrich",Cloud Types for Eventual Consistency,2012
"A Meixner, DJ Sorin",Clouseau: Probabilistic dynamic verification of multithreaded memory systems,2004
"C DISSELKOEN, R JAGADEESAN, A JEFFREY, ...",Code that never ran,2018
"P Godefroid, K Sen",Combining model checking and testing,2018
"X Shen, LR Arvind",Commit-reconcile and fences (CRF): a new memory model for architects and compiler writers,1999
"V VAFEIADIS, FZ NARDELLI",CompCertTSO: A Verified Compiler for Relaxed-Memory Concurrency,
"J Ševčík, V Vafeiadis, F Zappa Nardelli, ...",CompCertTSO: A verified compiler for relaxed-memory concurrency,2013
"K Gharachorloo, L Kontothanassis, DJ Scales, M Scott, ...",Comparative Evaluation of Fine-and Coarse-Grain Approaches for Software Distributed Shared Memory,1999
"S Dwarkadas, K Gharachorloo, ...",Comparative evaluation of fine-and coarse-grain approaches for software distributed shared memory,1999
"IJ Hayes, A Burns, B Dongol, CB Jones",Comparing models of nondeterministic expression evaluation,2011
"RCF Melo, MET Walter, ACMA Melo, R Batista, ...",Comparing two long biological sequences using a dsm system,2003
N ten Dijke,Comparison of Verification Methods for Weak Memory Models,2014
"H Jiang, V Chaudhary",Compile/run-time support for thread migration,2001
"S Cuellar, N Giannarakis, JM Madiot, W Mansky, ...",Compiler correctness for concurrency: from comncurrent separation logic to shared memory assembly language,2020
"S Dwarkadas, A Cox, H Lu, W Zwaenepoel",Compiler-Directed Selective Update Mechanisms for Software Distributed Shared Memory,1995
"S Conchon, D Declerck, F Zaïdi",Compiling Parameterized X86-TSO Concurrent Programs to Cubicle-,2017
"L Birkedal, D Dreyer, P Gardner, Z Shao",Compositional Verification Methods for Next-Generation Concurrency (Dagstuhl Seminar 15191),2015
M Batty,Compositional relaxed concurrency,2017
"M Dodds, M Batty, A Gotsman",Compositional verification of compiler optimisations on relaxed memory,2018
"M Dodds, M Batty, A Gotsman",Compositional verification of relaxed-memory program transformations,2016
"M Frigo, V Luchangco",Computation-centric memory models,1998
"D Hutchison, T Kanade, J Kittler, JM Kleinberg, ...",Computer Aided Verification,2008
AGS Malik,Computer Aided Verification,2008
TBRB Jones,Computer Aided Verification,2002
"T Ball, RB Jones","Computer Aided Verification: 18th International Conference, CAV 2006, Seattle, WA, USA, August 17-20, 2006, Proceedings",2006
"A Gupta, S Malik","Computer Aided Verification: 20th International Conference, CAV 2008 Princeton, NJ, USA, July 7-14, 2008, Proceedings",2008
"A Bouajjani, O Maler","Computer Aided Verification: 21st International Conference, CAV 2009, Grenoble, France, June 26-July 2, 2009, Proceedings",2009
O Maler,Computer aided verification,1996
"S Park, DL Dill",Computer assisted analysis of multiprocessor memory systems,1996
"DF Bacon, X Shen","Computer program instruction architecture, system and process using partial ordering for adaptive response to memory latencies",2009
"DF Bacon, X Shen","Computer program instruction architecture, system and process using partial ordering for adaptive response to memory latencies",2009
"RB Batista, ALAC Correa, ...",Computing binary space partition trees using a scope consistent DSM system in a cluster of workstations,2003
M Dobiasch,Concolic testing of concurrent software in the context of weak memory models,2014
"Q Yi, J Huang",Concurrency verification with maximal path causality,2018
"J Alglave, P Cousot, C Urban",Concurrency with Weak Memory Models (Dagstuhl Seminar 16471),2017
S Cuellar,Concurrent Permission Machine for modular proofs of optimizing compilers with shared memory concurrency.,2020
"E Börger, KD Schewe",Concurrent abstract state machines,2016
"T Abe, T Maeda",Concurrent program logic for relaxed memory consistency models with dependencies across loop iterations,2017
"TL Nguyen, B Fischer, S La Torre, G Parlato",Concurrent program verification with lazy sequentialization and interval analysis,2017
"BLLCK Strauss, S Qadeer, H Boehm",Conflict Exceptions: Providing Simple Parallel Language Semantics with Precise Hardware Exceptions,2009
"B Lucia, L Ceze, K Strauss, S Qadeer, ...",Conflict exceptions: simplifying concurrent language semantics with precise hardware exceptions for data-races,2010
"DS Dhaliwal, PS Sandhu, SN Panda",Consistency Model and Synchronization Primitives in SDSMS,2009
MH Lipasti,Constraint Graph Analysis of Multithreaded Programs,
"HW Cain, MH Lipasti, R Nair",Constraint Graph Analysis of Multithreaded Programs.,2003
"A Bouajjani, M Sighireanu",Constructing optimally robust concurrent programs wrt relaxed memory models and program transformations.,
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",Context-bounded analysis for POWER,2017
"MF Atig, A Bouajjani, G Parlato",Context-bounded analysis of TSO systems,2014
"B Dongol, L Groves",Contextual trace refinement for concurrent objects: Safety and progress,2016
"A Velykis, G Grov, L Freitas",Contributions to AI4FM 2015,2015
"T Bergan, O Anderson, J Devietti, L Ceze, ...",CoreDet: a compiler and runtime system for deterministic multithreaded execution,2010
S Chakraborty,Correct Compilation of Relaxed Memory Concurrency,2019
"NM Lê, A Guatto, A Cohen, A Pop",Correct and efficient bounded FIFO queues,2013
"NM Lê, A Pop, A Cohen, F Zappa Nardelli",Correct and efficient work-stealing for weak memory models,2013
C Sakalis,Correctly Synchronised POSIX-threads Benchmark Applications,2015
"MMK Martin, DJ Sorin, HW Cain, ...",Correctly implementing value prediction in microprocessors that support multithreading or multiprocessing,2001
"M Hemmatpour, R Ferrero, F Gandino, ...",Cost Evaluation of Synchronization Algorithms for Multicore Architectures,2019
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...",Counter-example guided fence insertion under TSO,2012
"L Petrucci, C Seceleanu, A Cavalcanti",Critical Systems: Formal Methods and Automated Verification,
"L Petrucci, C Seceleanu, A Cavalcanti",Critical Systems: Formal Methods and Automated Verification: Joint 22nd International Workshop on Formal Methods for Industrial Critical Systems and 17th …,2017
RJJ Riely,DRAFT1/22,
"D Marino, A Singh, T Millstein, M Musuvathi, ...","DRFx An Understandable, High Performance, and Flexible Memory Model for Concurrent Languages",2016
"C Amza, AL Cox, S Dwarkadas, P Keleher, H Lu, ...",DSM OVERVIEW,
"B Gopal, P Kumar",DSM framework with processor consistency and Write-update coherence protocol: implementation,2009
W Puffitsch,"Data caching, garbage collection, and the Java memory model",2009
"B Kasikci, C Zamfir, G Candea",Data races vs. data race bugs: telling the difference with portend,2012
ML Goodstein,Dataflow Analysis-Based Dynamic Parallel Monitoring,2014
"A De, D D'Souza, R Nasre",Dataflow analysis for datarace-free programs,2011
"J Huang, C Zhang",Debugging concurrent software: Advances and challenges,2016
"O Lahav, U Boker",Decidable verification under a causally consistent shared memory.,2020
"A Bouajjani, R Meyer, E Möhlmann",Deciding robustness against total store ordering,2011
"J Bender, M Lesani, J Palsberg",Declarative fence insertion,2015
G Friedrich,Decoupled Strong Stubborn Sets,2016
"B Dongol, J Derrick, L Groves, G Smith",Defining correctness conditions for concurrent objects in multicore architectures,2015
ACMA de Melo,Defining uniform and hybrid memory consistency models on a unified framework,1999
"A Kolli, J Rosen, S Diestelhorst, A Saidi, ...",Delegated persist ordering,2016
"L Bocchi, H Melgratti",Deliverable no.: 5.4/2 Title of Deliverable: On the behaviour of general-purpose applications on cloud storages,2014
"C Williams, PF Reynolds, BR de Supinski",Delta coherence protocols,2000
A Gefﬂaut,Design and Evaluation of a Software-Controlled COMA,
BH Yu,Design and Implementation of an Efficient and Scalable Software Distributed Shared Memory System,2012
V Roostaie,Design and analysis of a coherent memory sub-system for FPGA-based embedded systems,2011
"DJ Scales, K Gharachorloo",Design and performance of the Shasta distributed shared memory protocol,1997
X Shen,Design and verification of adaptive cache coherence protocols,2000
"S Yang, S Jeong, B Min, Y Kim, B Burgstaller, ...","Design-space evaluation for non-blocking synchronization in Ada: lock elision of protected objects, concurrent objects, and low-level atomics",2020
N Dave,Designing a reorder buffer in Bluespec,2004
SV Adve,Designing memory consistency models for shared-memory multiprocessors,1993
MM Islam,Detecting Memory Model Bugs in Multi-Core and Many-Core Systems,2017
"Y Duan, X Feng, L Wang, C Zhang, ...",Detecting and eliminating potential violations of sequential consistency for concurrent C/C++ programs,2009
HW Cain,Detecting and exploiting causal relationships in hardware shared-memory multiprocessors,2004
"MM Islam, A Muzahid","Detecting, exposing, and classifying sequential consistency violations",2016
"T Hoare, S van Staden, B Möller, G Struth, ...",Developments in concurrent Kleene algebra,2016
"FS Zakkak, P Pratikakis","DiSquawk: 512 cores, 512 memories, 1 JVM",2016
I Keidar,Distributed Computing Column 43,
I Keidar,Distributed computing column 46: synthesizing distributed and concurrent programs,2012
O Ostrovsky,Don't Sit on the Fence,2018
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence,2014
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence: A static analysis approach to automatic fence insertion,2017
"K Wang, Y Lin, SM Blackburn, M Norrish, ...",Draining the swamp: Micro virtual machines as solid foundation for language development,2015
"PA Abdulla, MF Atig, B Jonsson, TP Ngo",Dynamic Partial Order Reduction Under the Release-Acquire Semantics (Tutorial),2019
TP Ngo,Dynamic Partial Order Reduction Under the Release-Acquire Semantics (Tutorial),2019
"N Zhang, M Kusano, C Wang",Dynamic partial order reduction for relaxed memory models,2015
"C Lidbury, AF Donaldson",Dynamic race detection for C++ 11,2017
"M Abadi, A Birrell, T Harris, J Hsieh, M Isard",Dynamic separation for transactional memory,2008
"F Liu, N Nedev, N Prisadnikov, M Vechev, ...",Dynamic synthesis for relaxed memory models,2012
"A Meixner, DJ Sorin",Dynamic verification of memory consistency in cache-coherent multithreaded computer architectures,2008
"A Meixner, DJ Sorin",Dynamic verification of sequential consistency,2005
"C Mattarei, C Barrett, S Guo, B Nelson, ...",EMME: a formal tool for ECMAScript Memory Model Evaluation,2018
"M Luo, K Seager, KS Murthy, CJ Archer, S Sur, ...",Early evaluation of scalable fabric interface for PGAS programming models,2014
"HW Cain, MH Lipasti",Edge chasing delayed consistency: pushing the limits of weak memory models,2012
S Aronis,Effective Techniques for Stateless Model Checking,2018
"A Dan, Y Meshman, M Vechev, E Yahav",Effective abstractions for verification under relaxed memory models,2017
"AM Dan, Y Meshman, MT Vechev, E Yahav","Effective abstractions for verification under relaxed memory models. VMCAI 2015, LNCS 8931, 449–466",2015
"S Burckhardt, M Musuvathi",Effective program verification for relaxed memory models,2008
"C Narayan, S Sharma, S Arun-Kumar",Efficient Bounded Verification for TSO,
"MD Sinclair, J Alsop, SV Adve",Efficient GPU synchronization without scopes: Saying no to complex consistency models,2015
"C Narayan, S Sharma, S Arun-Kumar",Efficient Verification of Concurrent Programs Over TSO Memory Model,2016
"P Metzler, H Saissi, P Bokor, R Hesse, ...",Efficient Verification of Program Fragments: Eager POR,2016
"C Manovit, S Hangal",Efficient algorithms for verifying memory consistency,2005
MD Sinclair,Efficient coherence and consistency for specialized memory hierarchies,2017
"CS Park, K Sen, P Hargrove, C Iancu",Efficient data race detection for distributed memory parallel programs,2011
"K Lu, X Zhou, T Bergan, X Wang",Efficient deterministic multithreading without global barriers,2014
"D Baudisch, J Brandt, ...",Efficient handling of arrays in dataflow process networks,2012
R Barik,Efficient optimization of memory accesses in parallel programs,2010
"C Lin, V Nagarajan, R Gupta",Efficient sequential consistency using conditional fences,2012
"C Lin, V Nagarajan, R Gupta, B Rajaram",Efficient sequential consistency via conflict ordering,2012
M Cao,"Efficient, Practical Dynamic Program Analyses for Concurrency Correctness",2017
B Rajaram,"Efficient, scalable, and fair read-modify-writes",2015
"Y Lv, L Sun, X Ye, D Fan, P Wu",Efficiently and completely verifying synchronized consistency models,2014
"A Singh, S Aga, S Narayanasamy",Efficiently enforcing strong memory ordering in GPUs,2015
"FM Sleiman, TF Wenisch",Efficiently scaling out-of-order cores for simultaneous multithreading,2016
"N Ventroux, T Sassolas",Electronic system level parallel simulation method with detection of conflicts of access to a shared memory,2019
"T Selker, L Koved",Elements of visual language,1988
"E Tomasco, T Nguyen Lam, B Fischer, S La Torre, ...",Embedding weak memory models within eager sequentialization,2016
"S Dwarkadas, P Keleher, AL Cox, W Zwaenepoel",Emerging Network Technology,
"A Singh, S Narayanasamy, D Marino, ...",End-to-end sequential consistency,2012
"CL Bates, L Helgeson, JK King, MA Schlicht",Enhancing weak consistency,2017
TP Ngo,Ensuring The Correctness of Concurrent Programs under TSO Memory Models,2013
AJ McPherson,Ensuring performance and correctness for legacy parallel programs,2015
"C Chen, W Chen, V Sreedhar, R Barik, V Sarkar, G Gao",Establishing causality as a desideratum for memory models and transformations of parallel programs,2010
