Authors,Title,Year
"G Gopalakrishnan, J Sawaya",Achieving Formal Parallel Program Debugging by Incentivizing CS/HPC Collaborative Tool Development,2015
"T Warszawski, P Bailis",Acidrain: Concurrency-related attacks on database-backed web applications,2017
M Hillebrand,"Address Spaces and Virtual Memory: Specification, Implementation, and Correctness",2005
"G Smith, J Derrick, B Dongol",Admit your weakness: Verifying correctness on TSO architectures,2014
D Aspinall,Advances in Programming Languages,
D Beyer,Advances in automatic software verification: SV-COMP 2020,2020
BS Ang,"Aggregation of cache-updates in a multi-processor, shared-memory system",2004
A Blanchard,Aide à la vérification de programmes concurrents par transformation de code et de spécifications,2016
"M Najafzadeh, M Shapiro",Alexey Gotsman,2016
"A Cerone, A Gotsman, H Yang",Algebraic laws for weak consistency,2017
"A Cerone, A Gotsman, H Yang",Algebraic laws for weak consistency (extended version),2017
"S Schmitz, P Schnoebelen",Algorithmic Theory of WQOs,
"K Etessami, P Godefroid",An Abort-Aware Model of Transactional Programming (Position Paper),
"C Wallace, G Tremblay, JN Amaral",An Abstract State Machine specification and verification of the location consistency memory model and cache protocol,2001
"M Gorelik, D Hendler",An Assymetric Flat-combining Based Queue Algorithm,2013
"PA Melliès, L Stefanesco",An Asynchronous soundness theorem for concurrent separation logic,2018
"G Cabon, D Cachera, D Pichardie",An Extended Buffered Memory Model With Full Reorderings,2016
P Ou,An Initial Study of Two Approaches to Eliminating Out-of-Thin-Air Results,2018
"Z Hóu, D Sanan, A Tiu, Y Liu, KC Hoa, ...",An Isabelle/HOL Formalisation of the SPARC Instruction Set Architecture and the TSO Memory Model,2020
"S Zhang, M Vijayaraghavan",An Operational Framework for Specifying Memory Models using Instantaneous Instruction Execution,2017
"K Etessami, P Godefroid",An abort-aware model of transactional programming,2009
"K Etessami, P Godefroid",An abort-aware model of transactional programming,2011
"RJ Colvin, K Winter",An abstract semantics of speculative execution for reasoning about security vulnerabilities,2019
S Lau,An approach to model checking C based on an explicit semantics,2018
"A Linden, P Wolper",An automata-based symbolic approach for verifying programs on relaxed memory models,2010
"S Mador-Haim, L Maranget, S Sarkar, ...",An axiomatic memory model for POWER multiprocessors,2012
"KE Gray, G Kerneis, D Mulligan, C Pulte, ...","An integrated concurrency and core-ISA architectural envelope definition, and test oracle, for IBM POWER multiprocessors",2015
"J Derrick, G Smith",An observational approach to defining linearizability on weak memory models,2017
"J Roemer, MD Bond",An online dynamic analysis for sound predictive data race detection,2016
"DS Fava, M Steffen, V Stolz, S Valle","An operational semantics for a weak memory model with buffered writes, message passing, and goroutines",2017
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",An operational semantics of cache coherent multicore architectures,2016
DAW Clarke,Analyses of Java programs over weak memory,2018
"PA Abdulla, MF Atig, J Cederberg",Analysis of message passing programs using SMT-solvers,2013
P Abdulla,Analyzing Concurrent Algorithms under Weak Memory Orderings,2008
R Stenhammar,Analyzing Weak Memory Models,
"DS Fava, M Steffen, V Stolz",Anything goes unless forbidden,
"G Parthasarathy, AJ Summers, P Müller",Applying and Extending the Weak-Memory Logic FSL+,2017
"DLCTM Pellauer, M Martonosi",ArMOR: Defending Against Memory Consistency Model Mismatches in Heterogeneous Architectures,
"D Lustig, C Trippel, M Pellauer, ...",ArMOR: defending against memory consistency model mismatches in heterogeneous architectures,2015
"B Mammo, J Larimer, M Morgan, D Fan, ...",Architectural trace-based functional coverage for multiprocessor verification,2012
"JR Lorch, Y Chen, M Kapritsos, B Parno, ...",Armada: low-effort verification of high-performance concurrent programs,2020
"S Zhang, M Vijayaraghavan, A Wright, M Alipour","Arvind,“",2017
"S Zhang, M Vijayaraghavan, D Lustig","Arvind,“Weak memory models with matching axiomatic and operational definitions,”",2017
"P Maleehuan, Y Chiba, T Aoki",Assembly program verification for multiprocessors with relaxed memory model using smt solver,2017
"OM Duarte, R Hametner",Asynchronous programming with futures in C on a safety-critical platform in the railway-control domain,2017
"U Acar, A Charguéraud, S Muller, M Rainey",Atomic Read-Modify-Write Operations are Unnecessary for Shared-Memory Work Stealing,2013
"D Pichardie, V Laporte, GPJ Vitek",Atomicity Refinement for Verified Compilation,2013
"P Baldan, T Padoan",Automata for true concurrency properties,2018
A Yushkovskiy,Automated Analysis of Weak Memory Models,2018
S Burckhardt,Automated Verification of Concurrent Data Types,2006
B Jonsson,Automated Verification of Concurrent Programs,2009
R Grönroos,Automated Verification of Concurrent Recursive Programs,2014
R Grönroos,Automated Verification of Highly Concurrent Algorithms,2014
"C Hawblitzel, E Petrank, S Qadeer, ...",Automated and modular refinement reasoning for concurrent programs,2015
"B Kasikci, C Zamfir, G Candea",Automated classification of data races under both strong and weak memory models,2015
"D Lustig, A Wright, A Papakonstantinou, ...",Automated synthesis of comprehensive memory model litmus test suites,2017
"O Thorsen, C Wallace",Automated verification of UPC memory consistency,2006
"C Baumann, AM Dan, Y Meshman, T Hoefler, ...",Automatic Verification of RMA Programs via Abstraction Extrapolation,2018
"J Alglave, L Maranget",Automatic Weak Memory Model Exploration,
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...",Automatic fence insertion in integer programs via predicate abstraction,2012
"M Kuperstein, M Vechev, E Yahav",Automatic inference of memory fences,2012
"M Kuperstein, M Vechev, E Yahav",Automatic verification and synthesis for weak memory models,2015
"J Wickerson, M Batty, T Sorensen, ...",Automatically comparing memory consistency models,2017
T CHARRIER,Automatically proving concurrent programs running on weak memory,
"AJ Summers, P Müller",Automating deductive verification for weak-memory programs (extended version),2020
"P Ou, B Demsky",Automo: Automatic inference of memory order parameters for c/c++ 11,2015
B Victor,Avhandlingar,2016
"M Zhang, S Biswas, MD Bond",Avoiding consistency exceptions under strong memory models,2017
"N Gavrilenko, H Ponce-de-León, ...",BMC for Weak Memory Models,2019
"N Gavrilenko, H Ponce-de-León, F Furbach, ...",BMC for weak memory models: Relation analysis for compact SMT encodings,2019
"H Ponce-de-León, F Furbach, ...",BMC with memory models as modules,2018
"J Leroux, G Sutre",Backward Coverability with Pruning for Lossy Channel Systems,2017
"T Geffroy, J Leroux, G Sutre",Backward coverability with pruning for lossy channel systems,2017
"M Horie, H Horii, K Ogata, T Onodera",Balanced double queues for GC work-stealing on weak memory models,2018
"CG Ritson, S Owens",Benchmarking weak memory models,2016
"C Wang, Y Lv, P Wu",Bounded TSO-to-SC linearizability is decidable,2016
"S Burckhardt, R Alur, MMK Martin",Bounded model checking of concurrent data types on relaxed memory models: A case study,2006
"O Inverso, E Tomasco, B Fischer, S La Torre, ...",Bounded model checking of multi-threaded C programs via lazy sequentialization,2014
"S Dolan, KC Sivaramakrishnan, ...",Bounding data races in space and time,2018
"A Podkopaev, O Lahav, V Vafeiadis",Bridging the gap between programming languages and hardware weak memory models,2019
"S Doherty, B Dongol, H Wehrheim, ...",Brief Announcement: Generalising Concurrent Correctness to Weak Memory,2018
"B Dongol, S Doherty, H Wehrheim, ...",Brief Announcement: Generalising Concurrent Correctness to Weak Memory,2018
D Dice,Brief announcement: a partitioned ticket lock,2011
"MM Islam, A Muzahid",Bugaroo: Exposing Memory Model Bugs in Many-Core Systems,2018
P MÜLLER,Building Deductive Program Verifiers,2019
"M Dodds, M Batty, A Gotsman",C/C++ Cycles Confound Compositionality,2014
"M Dodds, M Batty, A Gotsman",C/C++ causal cycles confound compositionality,2013
"M Fernandez, P Gammie, J Andronick, G Klein, ...",CAmkES glue code semantics,2013
"D Kroening, M Tautschnig",CBMC–C bounded model checker,2014
"YA Manerkar, D Lustig, M Pellauer, ...",CCICheck: Using μhb graphs to verify the coherence-consistency interface,2015
B Norris,CDSChecker: A Model-checker for C/C++ Atomics,2013
P Ou,CDSSPEC: Testing Concurrent Data Structures Under the C/C++ 11 Memory Model,2014
"B Norris, B Demsky",CDSchecker: checking concurrent data structures written with C/C++ atomics,2013
"D Lustig, G Sethi, M Martonosi, ...",COATCheck: Verifying memory ordering at the hardware-OS interface,2016
"R Kannavara, F Xie",CRETE: A Versatile Binary-Level Concolic Testing Framework,2018
"B Chen, C Havlicek, Z Yang, K Cong, ...",CRETE: A versatile binary-level concolic testing framework,2018
"A Gidenstam, H Sundell, P Tsigas",Cache-aware lock-free queues for multiple producers/consumers and weak memory consistency,2010
Y Zhu,"Caches, Coherence and Accelerations of Transactional Memories",2011
Y Zhu,"Caches, Transactions and Memories: Models, Coherence and Consistency",2018
"L Higham, J Kawash",Can Expensive Synchronization be Avoided in Weak Memory Models?,
HJ Boehm,Can seqlocks get along with programming language memory models?,2012
"L Higham, LA Jackson, J Kawash",Capturing register and control dependence in memory consistency models with applications to the Itanium architecture,2006
"S Doherty, J Derrick",Causal Linearizability,2016
"S Doherty, J Derrick, B Dongol, H Wehrheim",Causal linearizability: Compositionality for partially ordered executions,2018
"S Castellan, P Clairambault",Causality vs. interleavings in concurrent game semantics,2016
"GAG Andrade, M Graf, ...",Chaining and Biasing: Test Generation Techniques for Shared-Memory Verification,2019
"MD Sinclair, J Alsop, SV Adve",Chasing away rats: Semantics and evaluation for relaxed atomics on heterogeneous systems,2017
"A Bouajjani, E Derevenetc, R Meyer",Checking Robustness against TSO,2012
"A Bouajjani, E Derevenetc, R Meyer",Checking and enforcing robustness against TSO,2013
"P Ou, B Demsky",Checking concurrent data structures under the C/C++ 11 memory model,2017
"C Trippel, D Lustig, M Martonosi",Checkmate: Automated synthesis of hardware exploits and security litmus tests,2018
"M Batty, K Memarian, S Owens, S Sarkar, ...",Clarifying and compiling C/C++ concurrency: from C++ 11 to POWER,2012
JP Talpin,Co Modeling and Co Synthesis of Safety Critical Multi threaded Embedded Software for Multi Core Embedded Platforms,2017
J Alglave,"Coalition, intrigue, ambush, destruction and pride: herding cats can be challenging",2017
E Cohen,Coherent causal memory,2014
"P Zeller, A Bieniusa, A Poetzsch-Heffter",Combining state-and event-based semantics to verify highly available programs,2019
"X Shen, LR Arvind",Commit-reconcile and fences (CRF): a new memory model for architects and compiler writers,1999
"V Vafeiadis, T Balabonski, S Chakraborty, ...",Common compiler optimisations are invalid in the C11 memory model and what we can do about it,2015
"V VAFEIADIS, FZ NARDELLI",CompCertTSO: A Verified Compiler for Relaxed-Memory Concurrency,
"J Ševčík, V Vafeiadis, F Zappa Nardelli, ...",CompCertTSO: A verified compiler for relaxed-memory concurrency,2013
N ten Dijke,Comparison of Verification Methods for Weak Memory Models,2014
"ES Namakonov, A Podkopaev",Compilation of OCaml memory model into Power,2019
"S Cuellar, N Giannarakis, JM Madiot, W Mansky, ...",Compiler correctness for concurrency: from comncurrent separation logic to shared memory assembly language,2020
"R Morisset, P Pawan, F Zappa Nardelli",Compiler testing via a theory of sound optimisations in the C11/C++ 11 memory model,2013
"S Conchon, D Declerck, F Zaïdi",Compiling Parameterized X86-TSO Concurrent Programs to Cubicle-,2017
"C von Praun, T Gross",Compiling multi-threaded object-oriented programs,2003
"S Amani, J Andronick, M Bortin, C Lewis, ...",Complx: A verification framework for concurrent imperative programs,2017
"S Zhang, A Wright, T Bourgeat, ...",Composable building blocks to open up processor design,2018
"A Gotsman, H Yang",Composite replicated data types,2015
H Yang,Composite replicated data types,2015
"GSLBS Cuellar, AW Appel",Compositional CompCert,
"L Birkedal, D Dreyer, P Gardner, Z Shao",Compositional Verification Methods for Next-Generation Concurrency (Dagstuhl Seminar 15191),2015
"G Stewart, L Beringer, S Cuellar, ...",Compositional compcert,2015
"A Khyzha, A Gotsman",Compositional reasoning about concurrent libraries on the axiomatic TSO memory model,2012
M Batty,Compositional relaxed concurrency,2017
L Lamport,Computation and state machines,2008
TTBC PaulJackson,Computer Aided Verification,
"G Gopalakrishnan, S Qadeer",Computer Aided Verification,
"E Brinksma, KG Larsen","Computer Aided Verification: 14th International Conference, CAV 2002 Copenhagen, Denmark, July 27-31, 2002 Proceedings",2002
"T Touili, B Cook, P Jackson","Computer Aided Verification: 22nd International Conference, CAV 2010, Edinburgh, UK, July 15-19, 2010, Proceedings",2010
"J Alglave, L Maranget","Computer Aided Verification: 23rd International Conference, CAV 2011, Snowbird, UT, USA, July 14-20, 2011",2011
"G Gopalakrishnan, S Qadeer","Computer Aided Verification: 23rd International Conference, CAV 2011, Snowbird, UT, USA, July 14-20, 2011, Proceedings",2011
"S Park, DL Dill",Computer assisted analysis of multiprocessor memory systems,1996
"MA Fetterman, GJ Hinton, DB Papworth, ...",Computer system with self-consistent ordering mechanism,1998
M Vechev,Computer-aided construction of concurrent systems,2010
M Dobiasch,Concolic testing of concurrent software in the context of weak memory models,2014
C Trippel,Concurrency and Security Verification in Heterogeneous Parallel Systems,2019
R Meyer,Concurrency theory,2012
"Q Yi, J Huang",Concurrency verification with maximal path causality,2018
"P Quoc-Sang, P Murthy",Concurrency vulnerability detection,2020
"J Alglave, P Cousot, C Urban",Concurrency with Weak Memory Models (Dagstuhl Seminar 16471),2017
N Klipphahn,Concurrent Model Checking-Systematic testing/Stateless Model Checking,
S Cuellar,Concurrent Permission Machine for modular proofs of optimizing compilers with shared memory concurrency.,2020
"CART Hoare, B Möller, G Struth, I Wehrman",Concurrent kleene algebra,2009
"S Burckhardt, A Gotsman, M Musuvathi, ...",Concurrent library correctness on the TSO memory model,2012
"T Abe, T Maeda",Concurrent program logic for relaxed memory consistency models with dependencies across loop iterations,2017
"TL Nguyen, B Fischer, S La Torre, G Parlato",Concurrent program verification with lazy sequentialization and interval analysis,2017
"CJ Bell, AW Appel, D Walker",Concurrent separation logic for pipelined parallelization,2010
"É Goubault, J Ledent, S Mimram",Concurrent specifications beyond linearizability,2018
S Castellan,Concurrent structures in game semantics,2017
"K Dorn, HM Von Stockhausen",Configurable and dynamically alterable object model,2005
"A Gotsman, S Burckhardt",Consistency models with global operation sequencing and their composition,2017
"A Gotsman, S Burckhardt",Consistency models with global operation sequencing and their composition (extended version),2017
MH Lipasti,Constraint Graph Analysis of Multithreaded Programs,
"HW Cain, MH Lipasti, R Nair",Constraint Graph Analysis of Multithreaded Programs.,2003
MJU Kusano,Constraint-Based Thread-Modular Abstract Interpretation,2018
"S Zhang, M Vijayaraghavan, A Wright, ...",Constructing a weak memory model,2018
S Zhang,Constructing and evaluating weak memory models,2019
"A Bouajjani, M Sighireanu",Constructing optimally robust concurrent programs wrt relaxed memory models and program transformations.,
"J Bataller, JM Bernabéu-Aubán",Constructive and adaptable distributed shared memory,1998
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",Context-Bounded Model Checking for POWER,2017
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",Context-bounded analysis for POWER,2017
"MF Atig, A Bouajjani, G Parlato",Context-bounded analysis of TSO systems,2014
"A Velykis, G Grov, L Freitas",Contributions to AI4FM 2015,2015
"J Manson, W Pugh",Core semantics of multithreaded Java,2001
S Chakraborty,Correct Compilation of Relaxed Memory Concurrency,2019
"A Cohen, AF Donaldson, M Huisman, ...",Correct and efficient accelerator programming (Dagstuhl Seminar 13142),2013
"NM Lê, A Pop, A Cohen, F Zappa Nardelli",Correct and efficient work-stealing for weak memory models,2013
"NM Lê, A Pop, A Cohen, FZ Nardelli",Correct and efficient work-stealing for weak memory models. PPoPP'13,2013
C Sakalis,Correctly Synchronised POSIX-threads Benchmark Applications,2015
"MMK Martin, DJ Sorin, HW Cain, ...",Correctly implementing value prediction in microprocessors that support multithreading or multiprocessing,2001
"G Smith, K Winter, RJ Colvin",Correctness of concurrent objects under weak memory models,2018
M Steffen,"Correctness, Compositionality, Concurrency Facets of formal program analysis",2017
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...",Counter-example guided fence insertion under TSO,2012
"YA Manerkar, C Trippel, D Lustig, M Pellauer, ...",Counterexamples and proof loophole for the C/C++ to POWER and ARMv7 trailing-sync compiler mappings,2016
"TW Huang, DL Lin, Y Lin, CX Lin",Cpp-Taskflow: A General-purpose Parallel and Heterogeneous Task Programming System at Scale,2020
"L Higham, J Kawash",Critical sections and producer/consumer queues in weak memory systems,1997
"S Conchon, D Declerck, F Zaïdi",Cubicle-: Parameterized Model Checking on Weak Memory,2018
"S Conchon, D Declerck, F Zaïdi",Cubicle-시: Parameterized Model Checking on Weak Memory,
"D Marino, A Singh, T Millstein, M Musuvathi, ...",DRFX: a simple and efficient memory model for concurrent programming languages,2010
"D Marino, A Singh, T Millstein, M Musuvathi, ...","DRFx An Understandable, High Performance, and Flexible Memory Model for Concurrent Languages",2016
"M Lewenstein, S Pettie, VV Williams, SH Hong, ...","Dagstuhl Reports, Vol. 6, Issue 11 ISSN 2192-5283",2017
"H Ponce-de-León, F Furbach, K Heljanko, ...",Dartagnan: Bounded Model Checking for Weak Memory Models (Competition Contribution),2020
LMJ Alglave,Data Race Freedom Guarantee pour un modele de mémoire faible,
W Puffitsch,"Data caching, garbage collection, and the Java memory model",2009
"J Erickson, M Musuvathi",Data race detection,2014
"K Yelick, S Chakrabarti, E Deprit, J Jones, ...",Data structures for irregular applications,1993
ML Goodstein,Dataflow Analysis-Based Dynamic Parallel Monitoring,2014
"A De, D D'Souza, R Nasre",Dataflow analysis for datarace-free programs,2011
"TJ Ham, JL Aragón, M Martonosi",DeSC: Decoupled supply-compute communication management for heterogeneous architectures,2015
"O Lahav, U Boker",Decidable verification under a causally consistent shared memory.,2020
"A Bouajjani, R Meyer, E Möhlmann",Deciding robustness against total store ordering,2011
"J Bender, M Lesani, J Palsberg",Declarative fence insertion,2015
G Friedrich,Decoupled Strong Stubborn Sets,2016
G Parthasarathy,Deductive Verification for Weak Memory Programs,2017
"R Hähnle, M Huisman",Deductive software verification: from pen-and-paper proofs to industrial tools,2019
P Wiesmann,Deductive verification of real-world C++ weak-memory programs,2019
"B Dongol, J Derrick, L Groves, G Smith",Defining correctness conditions for concurrent objects in multicore architectures,2015
"L Bocchi, H Melgratti",Deliverable no.: 5.4/2 Title of Deliverable: On the behaviour of general-purpose applications on cloud storages,2014
"P Boronat, V Cholvi",Dependences between critical sections in synchronized memory models,1998
BS Ang,Design and implementation of a multi-purpose cluster system network interface unit,1999
"S Yang, S Jeong, B Min, Y Kim, B Burgstaller, ...","Design-space evaluation for non-blocking synchronization in Ada: lock elision of protected objects, concurrent objects, and low-level atomics",2020
E Kamburjan,Detecting Deadlocks in Formal System Models with Condition Synchronization,2019
"Y Duan, X Feng, L Wang, C Zhang, ...",Detecting and eliminating potential violations of sequential consistency for concurrent C/C++ programs,2009
"SV Adve, MD Hill, BP Miller, RHB Netzer",Detecting data races on weak memory systems,1991
"DD Grove, I Posva, JH Choquette, CN Click Jr, ...",Detecting software race conditions,2010
"MM Islam, A Muzahid","Detecting, exposing, and classifying sequential consistency violations",2016
"C Flanagan, B König",Developments in automated verification techniques,2014
"T Hoare, S van Staden, B Möller, G Struth, ...",Developments in concurrent Kleene algebra,2016
"A Adir, R Emek, E Marcus, GE Shurek","Device, system and method of modeling homogeneous information",2013
B Kasikci,Dissertation Research,
I Keidar,Distributed Computing Column 43,
"P Baldan, A Corradini, ...",Domains and event structures for fusions,2017
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence,2014
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence: A static analysis approach to automatic fence insertion,2017
"D Kroening, J Alglave, V Nimal, D Poetzl",Don't sit on the fence: A static analysis approach to automatic fence insertion,2017
"PA Abdulla, MF Atig, B Jonsson, TP Ngo",Dynamic Partial Order Reduction Under the Release-Acquire Semantics (Tutorial),2019
TP Ngo,Dynamic Partial Order Reduction Under the Release-Acquire Semantics (Tutorial),2019
L Brutschy,Dynamic and Static Analysis for Weakly Consistent Systems,2018
"N Zhang, M Kusano, C Wang",Dynamic partial order reduction for relaxed memory models,2015
"F Liu, N Nedev, N Prisadnikov, M Vechev, ...",Dynamic synthesis for relaxed memory models,2012
"ORI LAHAV, V VAFEIADIS",E ective Stateless Model Checking for C/C++ Concurrency,
"C Mattarei, C Barrett, S Guo, B Nelson, ...",EMME: a formal tool for ECMAScript Memory Model Evaluation,2018
"H Posadas, E Villar",EU FP7-288307 PHARAON project,
"H Posadas, E Villar, F Broekaert, ...",EU FP7-288307 Pharaon Project: Parallel and Heterogeneous Architecture for Real-Time Applications,2013
"HW Cain, MH Lipasti",Edge chasing delayed consistency: pushing the limits of weak memory models,2012
"J Erickson, M Musuvathi, S Burckhardt, K Olynyk",Effective Data-Race Detection for the Kernel.,2010
"M Kokologiannakis, A Raad, V Vafeiadis",Effective lock handling in stateless model checking,2019
"L Brutschy, D Dimitrov, P Müller, M Vechev",Effective serializability for eventual consistency,2016
