Authors,Title,Year
"V Vafeiadis, T Balabonski, S Chakraborty, ...",Common compiler optimisations are invalid in the C11 memory model and what we can do about it,2015
"M Batty, K Memarian, K Nienhuis…",The problem of programming language concurrency semantics,2015
"D Marino, A Singh, T Millstein, M Musuvathi, ...",A case for an SC-preserving compiler,2011
"M Batty, AF Donaldson, J Wickerson",Overhauling SC atomics in C11 and OpenCL,2016
"M Huisman, G Petri",The Java memory model: a formal explanation,2007
"S Flur, S Sarkar, C Pulte, K Nienhuis, L Maranget…","Mixed-size concurrency: ARM, Power, C/C++ 11, and SC",2017
"L Liu, T Millstein, M Musuvathi",A volatile-by-default JVM for server applications,2017
"SH Lee, M Cho, A Podkopaev, S Chakraborty, CK Hur, ...",Promising 2.0: global optimizations in relaxed memory concurrency.,2020
"L Liu, T Millstein, M Musuvathi",Accelerating sequential consistency for Java with speculative compilation,2019
"B Lucia, L Ceze, K Strauss, S Qadeer, ...",Conflict exceptions: simplifying concurrent language semantics with precise hardware exceptions for data-races,2010
W Pugh,The Java memory model is fatally flawed,2000
"J Lee, DA Padua",Hiding relaxed memory consistency with compilers,2000
"HJ Boehm, B Demsky",Outlawing ghosts: Avoiding out-of-thin-air results,2014
"X Shen, LR Arvind",Commit-reconcile and fences (CRF): a new memory model for architects and compiler writers,1999
"A Arvind, JW Maessen",Memory model= instruction reordering+ store atomicity,2006
"W Ahn, S Qi, M Nicolaides, J Torrellas, JW Lee, ...",BulkCompiler: High-performance sequential consistency through cooperative compiler and hardware support,2009
J Alglave,A formal hierarchy of weak memory models,2012
"C Lin, V Nagarajan, R Gupta, B Rajaram",Efficient sequential consistency via conflict ordering,2012
"D Aspinall, J Sevcik","Java memory model examples: Good, bad and ugly",2007
"S Burckhardt, M Musuvathi, V Singh",Verifying local transformations on relaxed memory models,2010
"C Kessler, J Keller",Models for parallel computing: Review and perspectives,2007
"O Lahav, V Vafeiadis",Explaining relaxed memory models with program transformations,2016
ACMA de Melo,Defining uniform and hybrid memory consistency models on a unified framework,1999
"FZ Nardelli, P Sewell, J Sevcik, S Sarkar…",Relaxed memory models must be rigorous,2009
"L Higham, J Kawash",Java: Memory consistency and process coordination,1998
"Y Yang, G Gopalakrishnan…",Analyzing the CRF Java memory model,2001
"S Chakraborty, V Vafeiadis",Validating optimizations of concurrent C/C++ programs,2016
"V Awhad, C Wallace",A unified formal specification and analysis of the new Java memory models,2003
"CG Ritson, S Owens",Benchmarking weak memory models,2016
"L Higham, J Kawash",Implementing sequentially consistent programs on processor consistent platforms,2008
V Luchangco,Precedence-based memory models,1997
"MP Ferguson, D Buettner",Caching Puts and Gets in a PGAS language runtime,2015
"W Mansky, D Garbuzov, S Zdancewic",An axiomatic specification for sequential memory models,2015
"C Mattarei, C Barrett, S Guo, B Nelson, ...",EMME: a formal tool for ECMAScript Memory Model Evaluation,2018
"Y Yang, G Gopalakrishnan…",Formalizing the Java memory model for multithreaded program correctness and optimization,2002
"R Jagadeesan, G Petri, J Riely","Brookes is relaxed, almost!",2012
"J Derrick, G Smith",A framework for correctness criteria on weak memory models,2015
"V Štill, P Ročkai, J Barnat",Weak Memory Models as LLVM-to-LLVM Transformations,2015
"W Mansky, EL Gunter",Verifying optimizations for concurrent programs,2014
"M Senftleben, K Schneider",Specifying Weak Memory Consistency with Temporal Logic.,2016
"FS Zakkak, P Pratikakis",JDMM: a java memory model for non-cache-coherent memory architectures,2014
"M Senftleben, K Schneider",Operational characterization of weak memory consistency models,2018
"FS Zakkak, P Pratikakis","DiSquawk: 512 cores, 512 memories, 1 JVM",2016
"M Dodds, M Batty, A Gotsman",Compositional verification of compiler optimisations on relaxed memory,2018
"M Dodds, M Batty, A Gotsman",Compositional verification of relaxed-memory program transformations,2016
"T Mitra, A Roychoudhury, Q Shen",Impact of Java memory model on out-of-order multiprocessors,2004
"S Polyakov, A Schuster",Verification of the Java causality requirements,2005
"C Verbrugge, A Kielstra, Y Zhang",There is nothing wrong with out-of-thin-air: Compiler optimization and memory models,2011
"S Zhang, M Vijayaraghavan, A Wright, ...",Constructing a weak memory model,2018
"P Chatterjee, G Gopalakrishnan",A specification and verification framework for developing weak shared memory consistency protocols,2002
"L Higham, J Kawash, N Verwaal",Weak memory consistency models part II: Process coordination problems,1998
"J Derrick, G Smith",An observational approach to defining linearizability on weak memory models,2017
"A Yeolekar, K Madhukar, D Bhutada, ...",Sequentialization using timestamps,2017
"Y Zhao, X Wang, H Zhu",Towards a pomset semantics for a shared-variable parallel language,2010
"K Watanabe, S Nishimura",May&must-equivalence of shared variable parallel programs in game semantics,2012
"M Dodds, M Batty, A Gotsman",C/C++ causal cycles confound compositionality,2013
M Batty,Compositional relaxed concurrency,2017
"G Long, N Yuan, D Fan","Location Consistency model revisited: Problem, solution and prospects",2008
"S Xiao, H Jiang, H Liang, X Feng",Non-Preemptive Semantics for Data-Race-Free Programs,2018
"E Moiseenko, A Podkopaev, O Lahav, ...",Reconciling Event Structures with Modern Multiprocessors,2019
"A De, A Roychoudhury, D D'Souza",WOMM: a weak operational memory model,2010
G Petri,Studying operational models of relaxed concurrency,2013
"D Chavarría-Miranda, J Manzano, ...",SCaLeM: a framework for characterizing and analyzing execution models,2014
"DS Fava, V Stolz, S Valle",Operational Semantics of a Weak Memory Model inspired by Go,2017
"S Cheng, L Higham, J Kawash",Partition consistency,2014
"JH Rutgers, MJG Bekooij, GJM Smit",Programming a multicore architecture without coherency and atomic operations,2014
"G Cabon, D Cachera, D Pichardie",An Extended Buffered Memory Model With Full Reorderings,2016
"C WATT, A ROSSBERG, J PICHON-PHARABOD",Weakening WebAssembly (Extended Draft),2019
"SV Adve, K Gharachorloo",Shared Memory Consistency Models: A Tutorial,1995
"R Zhang, S Biswas, V Balaji, MD Bond, ...",Peacenik: Architecture Support for Not Failing under Fail-Stop Memory Consistency,2020
"TF Șerbănuță, F Chen, G Rosu",Maximal Causal Models for Sequentially Consistent Systems,2011
C Dubs,Parallel computing focussing on multiprocessing with shared memory; problems when developing parallel programs with respect to different memory …,2012
J Lee,Hiding the Java Memory Model with Compilers,
"P Sewell, S Sarkar, S Owens, FZ Nardelli, ...",x86-TSO: a rigorous and usable programmer's model for x86 multiprocessors,2010
"S Owens, S Sarkar, P Sewell",A better x86 memory model: x86-TSO,2009
"T Bergan, O Anderson, J Devietti, L Ceze, ...",CoreDet: a compiler and runtime system for deterministic multithreaded execution,2010
"JB Carter, JK Bennett, W Zwaenepoel",Techniques for reducing consistency-related communication in distributed shared-memory systems,1995
"C Blundell, EC Lewis, ...",Subtleties of transactional memory atomicity semantics,2006
"J Alglave, L Maranget, M Tautschnig","Herding cats: Modelling, simulation, testing, and data mining for weak memory",2014
"S Sarkar, P Sewell, FZ Nardelli, S Owens, ...",The semantics of x86-CC multiprocessor machine code,2009
"GR Gao, V Sarkar",Location consistency-a new memory model and cache consistency protocol,2000
"B Norris, B Demsky",CDSchecker: checking concurrent data structures written with C/C++ atomics,2013
"CART Hoare, B Möller, G Struth, I Wehrman",Concurrent kleene algebra,2009
"M Kokologiannakis, O Lahav, K Sagonas, ...",Effective stateless model checking for C/C++ concurrency,2017
"B Norris, B Demsky",A practical approach for model checking C/C++ 11 code,2016
"A De, A Roychoudhury, D D'Souza",Java memory model aware software validation,2008
"T Merrifield, J Devietti, J Eriksson",High-performance determinism with total store order consistency,2015
S Castellan,Weak memory models using event structures,2016
"H Jin, T Yavuz-Kahveci, BA Sanders",Java memory model-aware model checking,2012
"C Disselkoen, R Jagadeesan, ...",The code that never ran: Modeling attacks on speculative evaluation,2019
"K Lu, X Zhou, XP Wang, T Bergan, C Chen",An efficient and flexible deterministic framework for multithreaded programs,2015
"R Kavanagh, S Brookes",A denotational semantics for SPARC TSO,2018
"K Kavi, HS Kim, B Lee, AR Hurson",Shared memory and distributed shared memory systems: A survey,2000
"RP Ghughal, GC Gopalakrishnan",Verification methods for weaker shared memory consistency models,2000
A Huang,Maximally stateless model checking for concurrent bugs under relaxed memory models,2016
"H Ponce-de-León, F Furbach, ...",BMC with memory models as modules,2018
"H Ponce-de-León, F Furbach, K Heljanko, ...",Dartagnan: Bounded Model Checking for Weak Memory Models (Competition Contribution),2020
"M Kokologiannakis, A Raad, V Vafeiadis",Effective lock handling in stateless model checking,2019
"Q Yi, J Huang",Concurrency verification with maximal path causality,2018
"T Ehrhard, Y Jiang",A dendroidal process calculus,2015
RB Thapa,Generating Posets Beyond N,2020
"B Dongol, R Jagadeesan, J Riely",Modular transactions: bounding mixed races in space and time,2019
"I Jaju, BP Rao",Stateless Model Checking for the C/C++ 11 Memory Model,
"C Amza, AL Cox, S Dwarkadas, P Keleher, H Lu…",Treadmarks: Shared memory computing on networks of workstations,1996
"E Cohen, M Dahlweid, M Hillebrand, ...",VCC: A practical system for verifying concurrent C,2009
"T Harris, J Larus, R Rajwar",Transactional memory,2010
TL Harris,A pragmatic implementation of non-blocking linked-lists,2001
"J Whaley, M Rinard",Compositional pointer and escape analysis for Java programs,1999
"PE McKenney, JD Slingwine",Read-copy update: Using execution history to solve concurrency problems,1998
"D Leijen, W Schulte, S Burckhardt",The design of a task parallel library,2009
"C Varela, G Agha",Programming dynamically reconfigurable open systems with SALSA,2001
"S Sarkar, P Sewell, J Alglave, L Maranget, ...",Understanding POWER multiprocessors,2011
"D Kroening, M Tautschnig",CBMC–C bounded model checker,2014
MD Hill,Multiprocessors should support simple memory consistency models,1998
"S Burckhardt, R Alur, MMK Martin",CheckFence: checking consistency of concurrent data types on relaxed memory models,2007
"C Ding, X Shen, K Kelsey, C Tice, R Huang, ...",Software behavior oriented parallelization,2007
"J Erickson, M Musuvathi, S Burckhardt, K Olynyk",Effective Data-Race Detection for the Kernel.,2010
"C Gniady, B Falsafi, TN Vijaykumar",Is sc+ ilp= rc?,1999
"AC Lai, B Falsafi","Selective, accurate, and timely self-invalidation using last-touch prediction",2000
AW Appel,Verified software toolchain,2011
PJ Keleher,The relative importance of concurrent writers and weak consistency models,1996
"J Giacomoni, T Moseley, M Vachharajani",FastForward for efficient pipeline parallelism: a cache-optimized concurrent lock-free queue,2008
"M Abadi, A Birrell, T Harris, M Isard",Semantics of transactional memory and automatic mutual exclusion,2008
"A Solar-Lezama, CG Jones, R Bodik",Sketching concurrent data structures,2008
"S Burckhardt, A Gotsman, H Yang, M Zawirski","Replicated data types: specification, verification, optimality",2014
"K Gharachorloo, M Sharma, S Steely, ...",Architecture and design of AlphaServer GS320,2000
"SV Adve, MD Hill, BP Miller, RHB Netzer",Detecting data races on weak memory systems,1991
"BB Brandenburg, JM Calandrino, ...",On the scalability of real-time scheduling algorithms on multicore platforms: A case study,2008
"MF Spear, MM Michael, C Von Praun",RingSTM: scalable transactions with a single atomic instruction,2008
"S Hangal, D Vahia, C Manovit, JYJ Lu…",TSOtool: A program for verifying memory systems using the memory consistency model,2004
"W Jia, KA Shaw, M Martonosi",MRPB: Memory request prioritization for massively parallel processors,2014
"J Alglave, D Kroening, M Tautschnig",Partial orders for efficient bounded model checking of concurrent software,2013
"S Burckhardt, M Musuvathi",Effective program verification for relaxed memory models,2008
"A Shriraman, MF Spear, H Hossain, ...",An integrated hardware-software approach to flexible transactional memory,2007
"S Burckhardt, C Dern, M Musuvathi, R Tan",Line-up: a complete and automatic linearizability checker,2010
"MF Atig, A Bouajjani, S Burckhardt, ...",On the verification problem for weak memory models,2010
"F Pong, M Dubois",Verification techniques for cache coherence protocols,1997
"S Dwarkadas, P Keleher, AL Cox…",Evaluation of release consistent software distributed shared memory on emerging network technology,1993
"KF Moore, D Grossman",High-level small-step operational semantics for transactions,2008
"K Gharachorloo, SV Adve, A Gupta…",Programming for different memory consistency models,1992
"D Grunwald, H Srinivasan",Data flow equations for explicitly parallel programs,1993
M Rinard,Analysis of multithreaded programs,2001
"M Kuperstein, M Vechev, E Yahav",Automatic inference of memory fences,2012
"N Walkinshaw, R Taylor, J Derrick",Inferring extended finite state machine models from software executions,2016
"AW Appel, S Blazy",Separation Logic for Small-Step cminor,2007
"J Alglave, L Maranget, S Sarkar, P Sewell",Fences in weak memory models,2010
"J Alglave, A Fox, S Ishtiaq, MO Myreen…",The semantics of Power and ARM multiprocessor machine code,2009
"V Vafeiadis, C Narayan",Relaxed separation logic: A program logic for C11 concurrency,2013
"G Li, G Gopalakrishnan",Scalable SMT-based verification of GPU kernel functions,2010
"L Baugh, N Neelakantam, ...","Using hardware memory protection to build a high-performance, strongly-atomic hybrid transactional memory",2008
"S Novakovic, A Daglis, E Bugnion, B Falsafi, ...",Scale-out NUMA,2014
"B Kasikci, C Zamfir, G Candea",Data races vs. data race bugs: telling the difference with portend,2012
"EE Bilir, RM Dickson, Y Hu, M Plakal, ...",Multicast snooping: a new coherence method using a multicast address network,1999
"UA Acar, A Charguéraud, M Rainey",Scheduling parallel programs by work stealing with private deques,2013
"F Pong, M Dubois",A new approach for the verification of cache coherence protocols,1995
"J Alglave, D Kroening, V Nimal, ...",Software verification for weak memory via program transformation,2013
"J Huang, C Zhang, J Dolby",CLAP: recording local executions to reproduce concurrency failures,2013
"S Flur, KE Gray, C Pulte, S Sarkar, A Sezgin, ...","Modelling the ARMv8 architecture, operationally: Concurrency and ISA",2016
"S Mador-Haim, L Maranget, S Sarkar, ...",An axiomatic memory model for POWER multiprocessors,2012
"A Turon, V Vafeiadis, D Dreyer","GPS: Navigating weak memory with ghosts, protocols, and separation",2014
"PH Hartel, L Moreau","Formalizing the safety of Java, the Java virtual machine, and Java card",2001
"PA Abdulla, S Aronis, MF Atig, B Jonsson, ...",Stateless model checking for TSO and PSO,2017
"A Gotsman, H Yang, C Ferreira, M Najafzadeh, ...",Cause I'm strong enough: Reasoning about consistency choices in distributed systems,2016
S Owens,Reasoning about the implementation of concurrency abstractions on x86-TSO,2010
"S Benkner, S Pllana, JL Traff, P Tsigas, U Dolinsky, ...",PEPPHER: Efficient and productive usage of hybrid computing systems,2011
"S Burckhardt, D Leijen, M Fähndrich, ...",Eventually consistent transactions,2012
"J Alglave, M Batty, AF Donaldson, ...",GPU concurrency: Weak behaviours and programming assumptions,2015
"A Gotsman, B Cook, M Parkinson, V Vafeiadis",Proving that non-blocking algorithms don't block,2009
"J Ŝevčik, V Vafeiadis, F Zappa Nardelli, ...",Relaxed-memory concurrency and verified compilation,2011
"A Bouajjani, E Derevenetc, R Meyer",Checking and enforcing robustness against TSO,2013
"NP Lopes, D Menendez, S Nagarakatte, ...",Provably correct peephole optimizations with alive,2015
"P da Rocha Pinto, T Dinsdale-Young, ...",TaDA: A logic for time and data abstraction,2014
"DJ Sorin, M Plakal, AE Condon, MD Hill, ...",Specifying and verifying a broadcast and a multicast snooping cache coherence protocol,2002
"J Gummaraju, J Coburn, Y Turner, ...",Streamware: programming general-purpose multicore processors using streams,2008
"M Batty, M Dodds, A Gotsman",Library abstraction for C/C++ concurrency,2013
"A Meixner, DJ Sorin",Dynamic verification of memory consistency in cache-coherent multithreaded computer architectures,2008
"SV Adve, AL Cox, S Dwarkadas…",A comparison of entry consistency and lazy release consistency implementations,1996
"E Torlak, M Vaziri, J Dolby",MemSAT: checking axiomatic specifications of memory models,2010
"M Kuperstein, M Vechev, E Yahav",Partial-coherence abstractions for relaxed memory models,2011
"A Kolli, J Rosen, S Diestelhorst, A Saidi, ...",Delegated persist ordering,2016
"C Wang, S Kundu, M Ganai, A Gupta",Symbolic predictive analysis for concurrent programs,2009
"H Sivaraj, G Gopalakrishnan",Random walk based heuristic algorithms for distributed memory model checking,2003
"JA Brown, R Kumar, D Tullsen",Proximity-aware directory-based coherence for multi-core processor architectures,2007
"M Vechev, E Yahav, G Yorsh",Experience with model checking linearizability,2009
"DJ Scales, K Gharachorloo",Towards transparent and efficient software distributed shared memory,1997
"F Zheng, H Zou, G Eisenhauer, ...",FlexIO: I/O middleware for location-flexible scientific data analytics,2013
"J Alglave, L Maranget, S Sarkar, P Sewell",Litmus: Running Tests against Hardware,2011
"D Aspinall, J Ševčík",Formalising Java's data race free guarantee,2007
"C Wang, R Limaye, M Ganai, A Gupta",Trace-based symbolic analysis for atomicity violations,2010
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence,2014
"F Liu, N Nedev, N Prisadnikov, M Vechev, ...",Dynamic synthesis for relaxed memory models,2012
"J Wickerson, M Batty, T Sorensen, ...",Automatically comparing memory consistency models,2017
"GR Gao, T Sterling, R Stevens, ...",Parallex: A study of a new parallel computation model,2007
"RN Zucker, JL Baer",A performance study of memory consistency models,1992
"S Ghemawat, KH Randall, DJ Scales",Field analysis: Getting useful and low-cost interprocedural information,2000
"R Giorgi, RM Badia, F Bodin, A Cohen, ...",TERAFLUX: Harnessing dataflow in next generation teradevices,2014
"MF Spear, M Silverman, L Dalessandro, ...",Implementing and exploiting inevitability in software transactional memory,2008
"A Sethia, DA Jamshidi, S Mahlke",Mascar: Speeding up GPU warps by reducing memory pitstops,2015
"C Pulte, S Flur, W Deacon, J French, S Sarkar, ...",Simplifying ARM concurrency: multicopy-atomic axiomatic and operational models for ARMv8,2017
"N Zhang, M Kusano, C Wang",Dynamic partial order reduction for relaxed memory models,2015
"M Costa, P Guedes, M Sequeira, N Neves, ...",Lightweight logging for lazy release consistent distributed shared memory,1996
"C Flanagan, SN Freund",Adversarial memory for detecting destructive races,2010
"O Inverso, E Tomasco, B Fischer, S La Torre, ...",Bounded model checking of multi-threaded C programs via lazy sequentialization,2014
"W Damm, A Pnueli",Verifying out-of-order executions,1997
"A Georges, M Christiaens, M Ronsse, ...",JaRec: a portable record/replay environment for multi‐threaded Java applications,2004
"J Burnim, K Sen, C Stergiou",Testing concurrent programs on relaxed memory models,2011
"J Burnim, K Sen, C Stergiou",Sound and complete monitoring of sequential consistency for relaxed memory models,2011
"MMK Martin, DJ Sorin, HW Cain, ...",Correctly implementing value prediction in microprocessors that support multithreading or multiprocessing,2001
"W Kim, M Voss",Multicore desktop programming with intel threading building blocks,2010
"K Lu, X Zhou, T Bergan, X Wang",Efficient deterministic multithreading without global barriers,2014
"P Keleher, AL Cox, S Dwarkadas, ...",An evaluation of software-based release consistent protocols,1995
"MF Atig, A Bouajjani, G Parlato",Getting rid of store-buffers in TSO analysis,2011
"J Alglave, L Maranget",Stability in weak memory models,2011
A Miné,Static analysis of run-time errors in embedded critical parallel C programs,2011
"N Sinha, C Wang",Staged concurrent program analysis,2010
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...",Counter-example guided fence insertion under TSO,2012
"O Lahav, V Vafeiadis",Owicki-Gries reasoning for weak memory models,2015
"H Grahn, P Stenström, M Dubois",Implementation and evaluation of update-based cache protocols under relaxed memory consistency models,1995
"TA Henzinger, S Qadeer, SK Rajamani",Verifying sequential consistency on shared-memory multiprocessor systems,1999
"N Sinha, C Wang",On interference abstractions,2011
"L Dalessandro, ML Scott",Strong isolation is a weak idea,2009
"SF Siegel, M Zheng, Z Luo, TK Zirkel, ...",CIVL: the concurrency intermediate verification language,2015
"G Gopalakrishnan, Y Yang, H Sivaraj",QB or not QB: An efficient execution verification tool for memory orderings,2004
"A Cerone, G Bernardi, A Gotsman",A framework for transactional consistency models with atomic visibility,2015
"NM Lê, A Pop, A Cohen, F Zappa Nardelli",Correct and efficient work-stealing for weak memory models,2013
"JO Kaiser, HH Dang, D Dreyer, O Lahav, ...",Strong logic for weak memory: Reasoning about release-acquire consistency in Iris,2017
A Miné,Relational thread-modular static value analysis by abstract interpretation,2014
"R Rugina, MC Rinard",Pointer analysis for structured parallel programs,2003
"R Morisset, P Pawan, F Zappa Nardelli",Compiler testing via a theory of sound optimisations in the C11/C++ 11 memory model,2013
"U Verner, A Schuster, M Silberstein",Processing data streams with hard real-time constraints on heterogeneous systems,2011
"K Vora, SC Koduru, R Gupta",ASPIRE: exploiting asynchronous parallelism in iterative algorithms using a relaxed consistency based DSM,2014
J Ševčík,Safe optimisations for shared-memory concurrent programs,2011
"S Mador-Haim, R Alur, MMK Martin",Generating litmus tests for contrasting memory consistency models,2010
V Sarkar,Analysis and optimization of explicity parallel programs using the parallel program graph representation,1997
"A Arcangeli, M Cao, PE McKenney, ...",Using Read-Copy-Update Techniques for System V IPC in the Linux 2.5 Kernel.,2003
"B Wachter, D Kroening, ...",Verifying multi-threaded software with Impact,2013
"V Vafeiadis, FZ Nardelli",Verifying fence elimination optimisations,2011
"G Diamos, A Kerr, M Kesavan",Translating GPU binaries to tiered SIMD architectures with Ocelot,2009
"V D'Silva, M Payer, D Song",The correctness-security gap in compiler optimization,2015
"D Lustig, M Pellauer, ...",PipeCheck: Specifying and verifying microarchitectural enforcement of memory consistency models,2014
"S Burckhardt, A Gotsman, M Musuvathi, ...",Concurrent library correctness on the TSO memory model,2012
"H Tang, K Shen, T Yang",Program transformation and runtime support for threaded MPI execution on shared-memory machines,2000
"S Somogyi, TF Wenisch, N Hardavellas, J Kim…",Memory coherence activity prediction in commercial workloads,2004
"S Dwarkadas, K Gharachorloo…",Comparative evaluation of fine-and coarse-grain approaches for software distributed shared memory,1999
"R Guerraoui, TA Henzinger, B Jobstmann, ...",Model checking transactional memories,2008
"Y Xu, R Wang, N Goswami, T Li, L Gao, ...",Software transactional memory for GPU architectures,2014
"U Ramachandran, G Shah, ...",Architectural mechanisms for explicit communication in shared memory multiprocessors,1995
"MD Sinclair, J Alsop, SV Adve",Efficient GPU synchronization without scopes: Saying no to complex consistency models,2015
"AM Dan, Y Meshman, M Vechev, E Yahav",Predicate abstraction for relaxed memory models,2013
"CS Park, K Sen, P Hargrove, C Iancu",Efficient data race detection for distributed memory parallel programs,2011
"H Jiang, V Chaudhary",Compile/run-time support for thread migration,2001
"A Bouajjani, R Meyer, E Möhlmann",Deciding robustness against total store ordering,2011
"D Lustig, G Sethi, M Martonosi, ...",COATCheck: Verifying memory ordering at the hardware-OS interface,2016
"L Maranget, S Sarkar, P Sewell",A tutorial introduction to the ARM and POWER relaxed memory models,2012
"MD Bond, M Kulkarni, M Cao, M Zhang, ...",Octet: Capturing and controlling cross-thread dependences efficiently,2013
"K Chen, S Malik, P Patra",Runtime validation of memory ordering using constraint graph checking,2008
"E Börger, KD Schewe",Concurrent abstract state machines,2016
"S Schmitz, P Schnoebelen",The power of well-structured systems,2013
"C Lin, V Nagarajan, R Gupta",Efficient sequential consistency using conditional fences,2012
"AE Condon, MD Hill, M Plakal, ...",Using lamport clocks to reason about relaxed memory models,1999
"Y Chen, Y Lv, W Hu, T Chen, H Shen, ...",Fast complete memory consistency verification,2009
"L Beringer, G Stewart, R Dockins, AW Appel",Verified compilation for shared-memory C,2014
"F Pétrot, P Gomez",Lightweight implementation of the posix threads api for an on-chip mips multiprocessor with vci interconnect,2003
"C Hawblitzel, E Petrank, S Qadeer, ...",Automated and modular refinement reasoning for concurrent programs,2015
"PA Abdulla, MF Atig, B Jonsson, ...",Stateless model checking for POWER,2016
"M Chabbi, M Fagan, J Mellor-Crummey",High performance locks for multi-level NUMA systems,2015
"D Lee, M Said, S Narayanasamy, Z Yang, ...",Offline symbolic analysis for multi-processor execution replay,2009
"K Keutzer, T Mattson",Our Pattern Language (OPL): A design pattern language for engineering (parallel) software,2009
"M Lobosco, A Silva, O Loques, ...",A new distributed JVM for cluster computing,2003
"BA Hechtman, DJ Sorin",Exploring memory consistency for massively-threaded throughput-oriented processors,2013
"B Demsky, P Lam",SATCheck: SAT-directed stateless model checking for SC and TSO,2015
"J Bornholt, A Kaufmann, J Li, A Krishnamurthy, ...",Specifying and checking file system crash-consistency models,2016
"Y Yang, G Gopalakrishnan, ...",UMM: an operational memory model specification framework with integrated model checking capability,2005
"M Solinas, RM Badia, F Bodin, A Cohen, ...",The TERAFLUX project: Exploiting the dataflow paradigm in next generation teradevices,2013
"E Tomasco, O Inverso, B Fischer, S La Torre, ...",Verifying concurrent programs by memory unwinding,2015
"A Singh, D Marino, S Narayanasamy, ...","Efficient processor support for DRFx, a memory model with exceptions",2011
T Ridge,A rely-guarantee proof system for x86-TSO,2010
"A Linden, P Wolper",An automata-based symbolic approach for verifying programs on relaxed memory models,2010
"A Dan, Y Meshman, M Vechev, E Yahav",Effective abstractions for verification under relaxed memory models,2017
"RH Saavedra, D Park",Improving the effectiveness of software prefetching with adaptive executions,1996
"PA Abdulla, MF Atig, YF Chen, C Leonardsson, ...","Memorax, a Precise and Sound Tool for Automatic Fence Insertion under TSO",2013
"M Doko, V Vafeiadis",A program logic for C11 memory fences,2016
"S Burckhardt, R Alur, MMK Martin",Bounded model checking of concurrent data types on relaxed memory models: A case study,2006
"DJ Scales, K Gharachorloo",Design and performance of the Shasta distributed shared memory protocol,1997
"M Frigo, V Luchangco",Computation-centric memory models,1998
V Vafeiadis,RGSep action inference,2010
"A Sengupta, S Biswas, M Zhang, MD Bond, ...",Hybrid static–dynamic analysis for statically bounded region serializability,2015
"X Zhou, K Lu, X Wang, X Li",Exploiting parallelism in deterministic shared memory multiprocessing,2012
"X Tang, A Pattnaik, H Jiang, O Kayiran, ...",Controlled kernel launch for dynamic parallelism in GPUs,2017
